key,path_id,field_path,type,orig,trans,orig_sha1
8279|onMessage,8279,onMessage,MonoBehaviour,"Lola's ""Afrikini"" outfit and hairstyle unlocked!","Lola의 ""Afrikini"" 의상과 헤어스타일이 해금되었습니다!",b5770509490e292602049a62cc80428013089ef2
8280|onMessage,8280,onMessage,MonoBehaviour,"Jessie's ""Naughty List"" outfit and hairstyle unlocked!","Jessie의 ""Naughty List"" 의상과 헤어스타일이 해금되었습니다!",52752ad7d595a3a61b1258e289426f5f26678cc7
8281|onMessage,8281,onMessage,MonoBehaviour,"Lillian's ""Candy Corn"" outfit and hairstyle unlocked!","Lillian의 ""Candy Corn"" 의상과 헤어스타일이 해금되었습니다!",21f701e26518f38d51f79a21e0421e0291430dc6
8282|onMessage,8282,onMessage,MonoBehaviour,"Zoey's ""Scarehoe"" outfit and hairstyle unlocked!","Zoey의 ""Scarehoe"" 의상과 헤어스타일이 해금되었습니다!",3c8584c95f5d8d7766d666c5ba5cb6beeaf51344
8283|onMessage,8283,onMessage,MonoBehaviour,"Sarah's ""Cow Girl"" outfit and hairstyle unlocked!","Sarah의 ""Cow Girl"" 의상과 헤어스타일이 해금되었습니다!",c2f01a61cf62aba62516741c64db68dda57874be
8284|onMessage,8284,onMessage,MonoBehaviour,"Lailani's ""Koimono"" outfit and hairstyle unlocked!","Lailani의 ""Koimono"" 의상과 헤어스타일이 해금되었습니다!",df97679a08e8d2770c73d0d4d79a3d1370fd7047
8285|onMessage,8285,onMessage,MonoBehaviour,"Candace's ""Onahole"" outfit and hairstyle unlocked!","Candace의 ""Onahole"" 의상과 헤어스타일이 해금되었습니다!",f28d513285b112abc89bb8f83d9335b366c52818
8286|onMessage,8286,onMessage,MonoBehaviour,"Nora's ""Spiral Scout"" outfit and hairstyle unlocked!","Nora의 ""Spiral Scout"" 의상과 헤어스타일이 해금되었습니다!",d1c38ac531e17cc26307ad90bb7d17dd4b6a4192
8287|onMessage,8287,onMessage,MonoBehaviour,"Brooke's ""Stars & Stripes"" outfit and hairstyle unlocked!","Brooke의 ""Stars & Stripes"" 의상과 헤어스타일이 해금되었습니다!",00961ee2bb1cb7e29aa2b4cef6db83c9961fad7e
8288|onMessage,8288,onMessage,MonoBehaviour,"Ashley's ""Clamouflage"" outfit and hairstyle unlocked!","Ashley의 ""Clamouflage"" 의상과 헤어스타일이 해금되었습니다!",de9332def21c30b7ac5c71e3eb8314cd0eff619f
