key,path_id,field_path,type,orig,trans,orig_sha1
8279|onMessage,8279,onMessage,MonoBehaviour,"Lola's ""Afrikini"" outfit and hairstyle unlocked!",,b5770509490e292602049a62cc80428013089ef2
8280|onMessage,8280,onMessage,MonoBehaviour,"Jessie's ""Naughty List"" outfit and hairstyle unlocked!",,52752ad7d595a3a61b1258e289426f5f26678cc7
8281|onMessage,8281,onMessage,MonoBehaviour,"Lillian's ""Candy Corn"" outfit and hairstyle unlocked!",,21f701e26518f38d51f79a21e0421e0291430dc6
8282|onMessage,8282,onMessage,MonoBehaviour,"Zoey's ""Scarehoe"" outfit and hairstyle unlocked!",,3c8584c95f5d8d7766d666c5ba5cb6beeaf51344
8283|onMessage,8283,onMessage,MonoBehaviour,"Sarah's ""Cow Girl"" outfit and hairstyle unlocked!",,c2f01a61cf62aba62516741c64db68dda57874be
8284|onMessage,8284,onMessage,MonoBehaviour,"Lailani's ""Koimono"" outfit and hairstyle unlocked!",,df97679a08e8d2770c73d0d4d79a3d1370fd7047
8285|onMessage,8285,onMessage,MonoBehaviour,"Candace's ""Onahole"" outfit and hairstyle unlocked!",,f28d513285b112abc89bb8f83d9335b366c52818
8286|onMessage,8286,onMessage,MonoBehaviour,"Nora's ""Spiral Scout"" outfit and hairstyle unlocked!",,d1c38ac531e17cc26307ad90bb7d17dd4b6a4192
8287|onMessage,8287,onMessage,MonoBehaviour,"Brooke's ""Stars & Stripes"" outfit and hairstyle unlocked!",,00961ee2bb1cb7e29aa2b4cef6db83c9961fad7e
8288|onMessage,8288,onMessage,MonoBehaviour,"Ashley's ""Clamouflage"" outfit and hairstyle unlocked!",,de9332def21c30b7ac5c71e3eb8314cd0eff619f
8289|onMessage,8289,onMessage,MonoBehaviour,"Abia's ""Morning Delight"" outfit and hairstyle unlocked!",,e4221f04be362f3dbc173b25a9efb1b7c3038403
8290|onMessage,8290,onMessage,MonoBehaviour,"Polly's ""Tuxedo"" outfit and hairstyle unlocked!",,1ffe726ea8e594dcf916e3c3e3d7b3c71825d9f8
8291|onMessage,8291,onMessage,MonoBehaviour,"""Secret Code"" achievement unlocked!",,169d32556ba1369de22c27d7e0cddae344d51eec
8292|onMessage,8292,onMessage,MonoBehaviour,Location transition speed is now much faster!,,7a546d3ebcec296fe160061141c5356ae2354a38
8292|offMessage,8292,offMessage,MonoBehaviour,Location transition speed is back to normal!,,70fda7e8c6653d656a0f5cc71484cb82b72cffd4
8293|onMessage,8293,onMessage,MonoBehaviour,Abia's headwear replaced with alternate hairstyles!,,e793c65ce1a4a6aaab428df7436b3466017addca
8293|offMessage,8293,offMessage,MonoBehaviour,Abia's alternate hairstyles replaced with headwear!,,e4ed2995a11946e20c99be2650c9ac115811ce68
8294|onMessage,8294,onMessage,MonoBehaviour,Alpha mode is now disabled across all save files.,,5f9fee028876ad52ae2731d0368b64130e3675c5
8294|offMessage,8294,offMessage,MonoBehaviour,Alpha mode is now re-enabled across all save files.,,c4e5ea1ea2141fa5457124213da8b623949ea920
8295|onMessage,8295,onMessage,MonoBehaviour,The screen will now display with a letterbox.,,c683dcc7c10e6c29e14dfc805e70086aa4d54809
8295|offMessage,8295,offMessage,MonoBehaviour,The screen will now display without a letterbox.,,e3a40101bdd3f54e1087b7afddd4a4e856b490f7
8296|steps[0].dialogLine.dialogText,8296,steps[0].dialogLine.dialogText,MonoBehaviour,Do you think they have wi-fi here?▸▸▸▸▸ I need to respond to a couple of e-mails.,,bdf0cd413ac929389bcff3fcb9ac154570d6ef66
8296|steps[1].dialogOptions[0].dialogOptionText,8296,steps[1].dialogOptions[0].dialogOptionText,MonoBehaviour,I'm sure they do. It's pretty much everywhere these days.,,cff23838b2abc095dcadd1dce438dfc101d98d30
8296|steps[1].dialogOptions[0].steps[0].dialogLine.dialogText,8296,steps[1].dialogOptions[0].steps[0].dialogLine.dialogText,MonoBehaviour,That's a good point.▸▸▸▸▸▸▸▸ I just hope it's not password protected...,,56282c7f0f7f0a97eaecdb2ee9dd261b212694d8
8296|steps[1].dialogOptions[1].dialogOptionText,8296,steps[1].dialogOptions[1].dialogOptionText,MonoBehaviour,You brought your laptop with you?,,cab9d51db4b70d6bf666fa5ef83fc90d5be45a52
8296|steps[1].dialogOptions[1].steps[0].dialogLine.dialogText,8296,steps[1].dialogOptions[1].steps[0].dialogLine.dialogText,MonoBehaviour,"My tablet,▸▸ technically.▸▸▸▸▸▸▸▸▸▸▸▸▸ You never know when you might be able to squeeze in a little work!",,19b6744f9892d520f8121a71ff14c39fefca6b6a
8296|steps[1].dialogOptions[2].dialogOptionText,8296,steps[1].dialogOptions[2].dialogOptionText,MonoBehaviour,You shouldn't be working. You're on vacation!,,052b22e0fee18f23c110d91f56f7b08dec880a23
8296|steps[1].dialogOptions[2].steps[0].dialogLine.dialogText,8296,steps[1].dialogOptions[2].steps[0].dialogLine.dialogText,MonoBehaviour,Now what kind of attitude is that?,,bb2b8b5895884b333ff288836db1d38ad2ab34f9
8296|steps[2].dialogLine.dialogText,8296,steps[2].dialogLine.dialogText,MonoBehaviour,"Vacation is no excuse to start being a lazy bum, right?▸▸▸▸▸ There's plenty I can do remotely.",,251ee27d0b4de18c70991eb63a381df05f05d63e
8296|steps[3].dialogLine.dialogText,8296,steps[3].dialogLine.dialogText,MonoBehaviour,"It's better than falling behind,▸▸▸▸▸ even if it means I don't have QUITE as much time for recreation.",,40d9ad2e3ddb8e1d4f09d70d9b8fb5b3cf0f7658
8297|steps[0].dialogLine.dialogText,8297,steps[0].dialogLine.dialogText,MonoBehaviour,[aaaaaa]▸▸▸▸▸I think I'm starting to crash...▸▸▸▸▸▸▸ I wonder if there's a place I can grab a coffee around here...,,18a8c36d557a0172c8e2d00734cce6a51b3cf6d6
8297|steps[1].dialogOptions[0].dialogOptionText,8297,steps[1].dialogOptions[0].dialogOptionText,MonoBehaviour,I'm sure we can find a place somewhere around here...,,aea9530e45141ad3475680dab88e0ca6ad91621a
8297|steps[1].dialogOptions[0].steps[0].dialogLine.dialogText,8297,steps[1].dialogOptions[0].steps[0].dialogLine.dialogText,MonoBehaviour,I▸▸ hope▸▸ so.▸▸▸▸▸▸▸▸▸▸▸▸▸ Another few hours and I'll be getting withdrawal headaches...,,7e46fab85f8eab01ea236fe08ccf6f203b06059a
8297|steps[1].dialogOptions[1].dialogOptionText,8297,steps[1].dialogOptions[1].dialogOptionText,MonoBehaviour,I saw a vending machine back there with energy drinks. Will that work?,,8ae12416b65b2024e9b86c7b85ce7d69451282fd
8297|steps[1].dialogOptions[1].steps[0].dialogLine.dialogText,8297,steps[1].dialogOptions[1].steps[0].dialogLine.dialogText,MonoBehaviour,"I'm not crazy about those drinks,▸▸▸▸▸ but I'll take ANYTHING with caffeine in it at this point.",,c1e7987798c69941cbc7c27431776467744af036
8297|steps[1].dialogOptions[2].dialogOptionText,8297,steps[1].dialogOptions[2].dialogOptionText,MonoBehaviour,I think you might be a little addicted to coffee...,,2342d80bcca4a9005c6acd43936a79ecb23d6c9d
8297|steps[1].dialogOptions[2].steps[0].dialogLine.dialogText,8297,steps[1].dialogOptions[2].steps[0].dialogLine.dialogText,MonoBehaviour,You think?▸▸▸▸▸ [hahahaha]▸▸[aaaa]▸▸What ever gave you that idea?,,f253c6379226383c1ebc4f75fbd71893561e0469
