key,path_id,field_path,type,orig,trans,orig_sha1
8279|onMessage,8279,onMessage,MonoBehaviour,"Lola's ""Afrikini"" outfit and hairstyle unlocked!",롤라의 '아프리키니' 의상과 헤어스타일 해금,b5770509490e292602049a62cc80428013089ef2
8280|onMessage,8280,onMessage,MonoBehaviour,"Jessie's ""Naughty List"" outfit and hairstyle unlocked!",제시의 '나쁜 아이 리스트' 의상과 헤어스타일 해금,52752ad7d595a3a61b1258e289426f5f26678cc7
8281|onMessage,8281,onMessage,MonoBehaviour,"Lillian's ""Candy Corn"" outfit and hairstyle unlocked!",릴리안의 '캔디 콘' 의상과 헤어스타일 해금,21f701e26518f38d51f79a21e0421e0291430dc6
8282|onMessage,8282,onMessage,MonoBehaviour,"Zoey's ""Scarehoe"" outfit and hairstyle unlocked!",조이의 '스케어호' 의상과 헤어스타일 해금,3c8584c95f5d8d7766d666c5ba5cb6beeaf51344
8283|onMessage,8283,onMessage,MonoBehaviour,"Sarah's ""Cow Girl"" outfit and hairstyle unlocked!",사라의 '카우 걸' 의상과 헤어스타일 해금,c2f01a61cf62aba62516741c64db68dda57874be
8284|onMessage,8284,onMessage,MonoBehaviour,"Lailani's ""Koimono"" outfit and hairstyle unlocked!",라일라니의 '코이모노' 의상과 헤어스타일 해금,df97679a08e8d2770c73d0d4d79a3d1370fd7047
8285|onMessage,8285,onMessage,MonoBehaviour,"Candace's ""Onahole"" outfit and hairstyle unlocked!",캔디스의 '오나홀' 의상과 헤어스타일 해금,f28d513285b112abc89bb8f83d9335b366c52818
8286|onMessage,8286,onMessage,MonoBehaviour,"Nora's ""Spiral Scout"" outfit and hairstyle unlocked!",노라의 '스파이럴 스카우트' 의상과 헤어스타일 해금,d1c38ac531e17cc26307ad90bb7d17dd4b6a4192
8287|onMessage,8287,onMessage,MonoBehaviour,"Brooke's ""Stars & Stripes"" outfit and hairstyle unlocked!",브룩의 '스타즈 앤 스트라이프스' 의상과 헤어스타일 해금,00961ee2bb1cb7e29aa2b4cef6db83c9961fad7e
8288|onMessage,8288,onMessage,MonoBehaviour,"Ashley's ""Clamouflage"" outfit and hairstyle unlocked!",애슐리의 '클래머플라주' 의상과 헤어스타일 해금,de9332def21c30b7ac5c71e3eb8314cd0eff619f
8289|onMessage,8289,onMessage,MonoBehaviour,"Abia's ""Morning Delight"" outfit and hairstyle unlocked!",아비아의 '모닝 딜라이트' 의상과 헤어스타일 해금,e4221f04be362f3dbc173b25a9efb1b7c3038403
8290|onMessage,8290,onMessage,MonoBehaviour,"Polly's ""Tuxedo"" outfit and hairstyle unlocked!",폴리의 '턱시도' 의상과 헤어스타일 해금,1ffe726ea8e594dcf916e3c3e3d7b3c71825d9f8
8291|onMessage,8291,onMessage,MonoBehaviour,"""Secret Code"" achievement unlocked!",시크릿 코드' 업적 해금,169d32556ba1369de22c27d7e0cddae344d51eec
8292|onMessage,8292,onMessage,MonoBehaviour,Location transition speed is now much faster!,장소 이동 속도 향상,7a546d3ebcec296fe160061141c5356ae2354a38
