[INFO] total=6430 targets=4187 model=gpt-4.1
[OK] batch=0~19 changed=20 failed=0
[OK] batch=20~39 changed=40 failed=0
[OK] batch=40~59 changed=60 failed=0
[OK] batch=60~79 changed=80 failed=0
[OK] batch=80~99 changed=100 failed=0
[OK] batch=100~119 changed=120 failed=0
[OK] batch=120~139 changed=140 failed=0
[OK] batch=140~159 changed=160 failed=0
[OK] batch=160~179 changed=180 failed=0
[OK] batch=180~199 changed=199 failed=1
[OK] batch=200~219 changed=219 failed=1
[OK] batch=220~239 changed=239 failed=1
[OK] batch=240~259 changed=259 failed=1
[OK] batch=260~279 changed=279 failed=1
[OK] batch=280~299 changed=299 failed=1
[OK] batch=300~319 changed=319 failed=1
[OK] batch=320~339 changed=338 failed=2
[OK] batch=340~359 changed=358 failed=2
[OK] batch=360~379 changed=377 failed=3
[OK] batch=380~399 changed=397 failed=3
[OK] batch=400~419 changed=417 failed=3
[OK] batch=420~439 changed=437 failed=3
[OK] batch=440~459 changed=457 failed=3
[OK] batch=460~479 changed=477 failed=3
[OK] batch=480~499 changed=497 failed=3
[OK] batch=500~519 changed=517 failed=3
[OK] batch=520~539 changed=537 failed=3
[OK] batch=540~559 changed=557 failed=3
[OK] batch=560~579 changed=577 failed=3
[OK] batch=580~599 changed=597 failed=3
[OK] batch=600~619 changed=615 failed=5
[OK] batch=620~639 changed=635 failed=5
[OK] batch=640~659 changed=655 failed=5
[OK] batch=660~679 changed=675 failed=5
[OK] batch=680~699 changed=695 failed=5
[OK] batch=700~719 changed=715 failed=5
[OK] batch=720~739 changed=734 failed=6
[OK] batch=740~759 changed=752 failed=8
[OK] batch=760~779 changed=772 failed=8
[OK] batch=780~799 changed=791 failed=9
[OK] batch=800~819 changed=811 failed=9
[OK] batch=820~839 changed=831 failed=9
[OK] batch=840~859 changed=849 failed=11
[OK] batch=860~879 changed=869 failed=11
[OK] batch=880~899 changed=887 failed=13
[OK] batch=900~919 changed=907 failed=13
[OK] batch=920~939 changed=926 failed=14
[OK] batch=940~959 changed=945 failed=15
[OK] batch=960~979 changed=965 failed=15
[OK] batch=980~999 changed=985 failed=15
[OK] batch=1000~1019 changed=1005 failed=15
[OK] batch=1020~1039 changed=1025 failed=15
[OK] batch=1040~1059 changed=1045 failed=15
[OK] batch=1060~1079 changed=1065 failed=15
[OK] batch=1080~1099 changed=1081 failed=19
[OK] batch=1100~1119 changed=1101 failed=19
[OK] batch=1120~1139 changed=1120 failed=20
[OK] batch=1140~1159 changed=1138 failed=22
[OK] batch=1160~1179 changed=1158 failed=22
[OK] batch=1180~1199 changed=1178 failed=22
[OK] batch=1200~1219 changed=1197 failed=23
[OK] batch=1220~1239 changed=1217 failed=23
[OK] batch=1240~1259 changed=1237 failed=23
[OK] batch=1260~1279 changed=1255 failed=25
[OK] batch=1280~1299 changed=1274 failed=26
[OK] batch=1300~1319 changed=1289 failed=31
[OK] batch=1320~1339 changed=1309 failed=31
[OK] batch=1340~1359 changed=1329 failed=31
[OK] batch=1360~1379 changed=1349 failed=31
[OK] batch=1380~1399 changed=1369 failed=31
[OK] batch=1400~1419 changed=1387 failed=33
[OK] batch=1420~1439 changed=1407 failed=33
[OK] batch=1440~1459 changed=1427 failed=33
[OK] batch=1460~1479 changed=1447 failed=33
[OK] batch=1480~1499 changed=1465 failed=35
[OK] batch=1500~1519 changed=1485 failed=35
[OK] batch=1520~1539 changed=1505 failed=35
[OK] batch=1540~1559 changed=1525 failed=35
[OK] batch=1560~1579 changed=1545 failed=35
[OK] batch=1580~1599 changed=1564 failed=36
[OK] batch=1600~1619 changed=1584 failed=36
[OK] batch=1620~1639 changed=1604 failed=36
[OK] batch=1640~1659 changed=1624 failed=36
[OK] batch=1660~1679 changed=1644 failed=36
[OK] batch=1680~1699 changed=1664 failed=36
[OK] batch=1700~1719 changed=1684 failed=36
[OK] batch=1720~1739 changed=1704 failed=36
[OK] batch=1740~1759 changed=1724 failed=36
[OK] batch=1760~1779 changed=1744 failed=36
[OK] batch=1780~1799 changed=1764 failed=36
[OK] batch=1800~1819 changed=1784 failed=36
[OK] batch=1820~1839 changed=1804 failed=36
[OK] batch=1840~1859 changed=1824 failed=36
[OK] batch=1860~1879 changed=1844 failed=36
[OK] batch=1880~1899 changed=1864 failed=36
[OK] batch=1900~1919 changed=1884 failed=36
[OK] batch=1920~1939 changed=1904 failed=36
[OK] batch=1940~1959 changed=1924 failed=36
[OK] batch=1960~1979 changed=1943 failed=37
[OK] batch=1980~1999 changed=1963 failed=37
[OK] batch=2000~2019 changed=1983 failed=37
[OK] batch=2020~2039 changed=2003 failed=37
[OK] batch=2040~2059 changed=2023 failed=37
[OK] batch=2060~2079 changed=2043 failed=37
[OK] batch=2080~2099 changed=2063 failed=37
[OK] batch=2100~2119 changed=2083 failed=37
[OK] batch=2120~2139 changed=2103 failed=37
[OK] batch=2140~2159 changed=2123 failed=37
[OK] batch=2160~2179 changed=2143 failed=37
[OK] batch=2180~2199 changed=2163 failed=37
[OK] batch=2200~2219 changed=2183 failed=37
[OK] batch=2220~2239 changed=2203 failed=37
[OK] batch=2240~2259 changed=2223 failed=37
[OK] batch=2260~2279 changed=2243 failed=37
[OK] batch=2280~2299 changed=2263 failed=37
