asset_file,path_id,obj_type,field_path,text
resources.assets,978,MonoBehaviour,name,Hoop Earrings
resources.assets,978,MonoBehaviour,description,+1 [[Move]joy] for every 2 [[Broken Heart]broken] tokens on the grid.
resources.assets,979,MonoBehaviour,name,Gold Earrings
resources.assets,979,MonoBehaviour,description,+1 [[Move]joy] for every 2 [[Joy]joy] tokens on the grid.
resources.assets,980,MonoBehaviour,name,Heart Necklace
resources.assets,980,MonoBehaviour,description,Drops the [[Passion]heart] Level back to zero and gives +2% of total Affection goal for each [[Passion]heart] stage lost.
resources.assets,981,MonoBehaviour,name,Pearl Necklace
resources.assets,981,MonoBehaviour,description,Drains your [[Sentiment]sentiment] and gives +1% of total Affection goal for each 1 [[Sentiment]sentiment] drained.
resources.assets,982,MonoBehaviour,name,Silver Ring
resources.assets,982,MonoBehaviour,description,Consume 10 random tokens on the grid. [[Broken Heart]broken] and [[Joy]joy] tokens excluded.
resources.assets,983,MonoBehaviour,name,Lovely Ring
resources.assets,983,MonoBehaviour,description,Consume all the power tokens on the grid.
resources.assets,984,MonoBehaviour,name,Nail Polish
resources.assets,984,MonoBehaviour,description,Upgrade 3 random Affection tokens to power tokens.
resources.assets,985,MonoBehaviour,name,Shiny Lipstick
resources.assets,985,MonoBehaviour,description,Upgrade a select Affection token to a power token.
resources.assets,986,MonoBehaviour,name,Hair Brush
resources.assets,986,MonoBehaviour,description,Consume a select row of tokens. [[Broken Heart]broken] tokens excluded.
resources.assets,987,MonoBehaviour,name,Makeup Kit
resources.assets,987,MonoBehaviour,description,Consume a select 3x3 square of tokens. [[Broken Heart]broken] tokens excluded.
resources.assets,988,MonoBehaviour,name,Eyelash Curler
resources.assets,988,MonoBehaviour,description,Consume a select column of tokens. [[Broken Heart]broken] tokens excluded.
resources.assets,989,MonoBehaviour,name,Compact Mirror
resources.assets,989,MonoBehaviour,description,"Select an Affection token and every token of that type will be replaced by either a [[Passion]heart] token, a [[Joy]joy] token, or a [[Sentiment]sentiment] token."
resources.assets,990,MonoBehaviour,name,Peep Toe Heels
resources.assets,990,MonoBehaviour,description,The next [[Broken Heart]broken] token match will count as a [[Passion]heart] token match instead.
resources.assets,991,MonoBehaviour,name,Cork Wedge Sandals
resources.assets,991,MonoBehaviour,description,"No tokens will be consumed as a result of a date gift being used for the remainder of the date. You'll still get the benefits, but the tokens will remain."
resources.assets,992,MonoBehaviour,name,Vintage Platforms
resources.assets,992,MonoBehaviour,description,Select a token type and you will not lose any moves until a match is made that is of a different token type than the one you selected.
resources.assets,993,MonoBehaviour,name,Leopard Print Pumps
resources.assets,993,MonoBehaviour,description,+1 [[Move]joy] for every 4-of-a-kind (or more) Affection token match for the remainder of the date.
resources.assets,994,MonoBehaviour,name,Pink Mary Janes
resources.assets,994,MonoBehaviour,description,+1 [[Sentiment]sentiment] for every [[Passion]heart] token match made for the remainder of the date.
resources.assets,995,MonoBehaviour,name,Suede Ankle Booties
resources.assets,995,MonoBehaviour,description,+3 [[Sentiment]sentiment] for every 4-of-a-kind (or more) Affection token match for the remainder of the date.
resources.assets,996,MonoBehaviour,name,Blue Orchid
resources.assets,996,MonoBehaviour,description,Consume all [[Talent]talent] tokens on the grid.
